Ariza Serrano|Manuel|Avd/ Cádiz nº4 (Córdoba)
Bujalance García|Juan Antonio|C/ 12 de Octubre nº1 (Córdoba)
Cruz Álvarez|Rafael Miguel|C/ Conquistador Ordoñez n9 (Córdoba)
Frías Serrano|Javier|Plz/ Colón nº3 (Córdoba)
González Prófumo|Juan Manuel|C/ Fernando VII (Córdoba)
González Sabariego|Francisco Javier|Plz/ España nº4 (Madrid)
Leiva Toledano|Álvaro|C/ San Acisclo nº3 (Córdoba)
Lopera Jiménez|Javier|C/ Claudio Marcelo nº 12 (Córdoba)
López Cruz|Rafael|C/ San Miguel nº 7 (Córdoba)
Luque Reyes|Samuel|Plz/ San Andrés nº 5 (Córdoba)
Moya Moruno|Adrián Ángel|Avd/ Oxford nº12 (Londres)
Murillo Ávila|Pablo|C/ Otto von Bismark nº16 (Berlín)
Nieto Cardador|Rafael Jesús|C/ Pastor nº 6 (Córdoba)
Prieto Jalao|Cristina|Plz/ Libertad nº 2 (Córdoba)
Sánchez Romero|Francisco José|Avd/ Atila nº1 (Córdoba)
Urbano Estepa|Rafael|C/ Salvador nº 8 (Córdoba)
